"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 19 01:46:56 UTC 2025","Wed Nov 19 01:47:12 UTC 2025","15478","chromium","","Crypto.com Exchange Navigation Tests","","","should be able to hover over navigation items","Verifies that navigation items can be hovered over successfully"
"passed","Wed Nov 19 01:46:46 UTC 2025","Wed Nov 19 01:46:56 UTC 2025","10292","chromium","","Crypto.com Exchange Navigation Tests","","","should display all major navigation items","Verifies that all major navigation items (Markets, Trade, Bots, etc.) are visible and accessible on the page"
"passed","Wed Nov 19 01:47:12 UTC 2025","Wed Nov 19 01:47:23 UTC 2025","11299","chromium","","Crypto.com Exchange Navigation Tests","","","should be able to click navigation items","Verifies that navigation items can be clicked and potentially navigate to different sections"
"passed","Wed Nov 19 01:46:36 UTC 2025","Wed Nov 19 01:46:46 UTC 2025","10022","chromium","","Crypto.com Exchange Navigation Tests","","","should load crypto.com exchange successfully","Verifies that the crypto.com exchange page loads successfully and displays the BTC_USD trading pair"
"passed","Wed Nov 19 01:47:23 UTC 2025","Wed Nov 19 01:47:33 UTC 2025","9729","chromium","","Crypto.com Exchange Navigation Tests","","","should verify individual navigation items exist","Verifies that each individual navigation item exists in the DOM and checks their visibility and enabled state"
